,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,
,Test matches,2011-2019,38,2265,182,34.31,6,-,-,-,-,23,0,-,
,One-Day Internationals,2008-2019,73,2773,151,40.77,7,-,-,-,-,22,0,-,
,Twenty20 Internationals,2008-2016,15,255,47*,18.21,0,-,-,-,-,3,0,-,
,
,v Bangladesh,2008-2008,3,175,76,87.50,0,-,-,-,-,0,0,-,
,v England,2010-2018,26,1215,156,46.73,5,-,-,-,-,8,0,-,
,v India,2009-2019,32,1174,131,26.68,2,-,-,-,-,13,0,-,
,v New Zealand,2009-2017,5,109,49,18.16,0,-,-,-,-,1,0,-,
,v Pakistan,2009-2019,14,411,91*,29.35,0,-,-,-,-,5,0,-,
,v Scotland,2013-2013,1,151,151,151.00,1,-,-,-,-,0,0,-,
,v South Africa,2009-2018,20,912,148,32.57,2,-,-,-,-,10,0,-,
,v Sri Lanka,2010-2019,12,557,141,42.84,2,-,-,-,-,3,0,-,
,v West Indies,2008-2015,13,589,182,42.07,1,-,-,-,-,8,0,-,
,
,in Australia,2008-2019,62,2889,182,41.27,6,-,-,-,-,26,0,-,
,in England,2010-2019,14,441,131,31.50,2,-,-,-,-,4,0,-,
,in India,2009-2019,12,324,112,20.25,1,-,-,-,-,1,0,-,
,in New Zealand,2016-2017,3,43,22,14.33,0,-,-,-,-,1,0,-,
,in Scotland,2013-2013,1,151,151,151.00,1,-,-,-,-,0,0,-,
,in South Africa,2011-2018,10,464,148,27.29,1,-,-,-,-,5,0,-,
,in Sri Lanka,2011-2016,8,470,141,47.00,2,-,-,-,-,3,0,-,
,in U.A.E.,2009-2019,8,212,91*,26.50,0,-,-,-,-,4,0,-,
,in West Indies,2008-2015,8,299,81,33.22,0,-,-,-,-,4,0,-,
,
,in Africa,2011-2018,10,464,148,27.29,1,-,-,-,-,5,0,-,
,in Americas,2008-2015,8,299,81,33.22,0,-,-,-,-,4,0,-,
,in Asia,2009-2019,28,1006,141,29.58,3,-,-,-,-,8,0,-,
,in Europe,2010-2019,15,592,151,39.46,3,-,-,-,-,4,0,-,
,in Oceania,2008-2019,65,2932,182,40.16,6,-,-,-,-,27,0,-,
,
,home,2008-2019,62,2889,182,41.27,6,-,-,-,-,26,0,-,
,away,2008-2019,54,2166,151,31.85,7,-,-,-,-,18,0,-,
,neutral,2009-2019,10,238,91*,23.80,0,-,-,-,-,4,0,-,
,
,year 2008,,9,362,81,45.25,0,-,-,-,-,0,0,-,
,year 2009,,13,417,112,32.07,1,-,-,-,-,1,0,-,
,year 2010,,10,313,83,31.30,0,-,-,-,-,5,0,-,
,year 2011,,15,577,141,32.05,2,-,-,-,-,2,0,-,
,year 2012,,4,14,11,2.80,0,-,-,-,-,5,0,-,
,year 2013,,10,331,151,41.37,1,-,-,-,-,2,0,-,
,year 2014,,8,549,148,49.90,1,-,-,-,-,5,0,-,
,year 2015,,7,466,182,42.36,1,-,-,-,-,4,0,-,
,year 2016,,9,409,130,37.18,1,-,-,-,-,8,0,-,
,year 2017,,10,478,126*,31.86,1,-,-,-,-,3,0,-,
,year 2018,,17,908,156,34.92,4,-,-,-,-,6,0,-,
,year 2019,,14,469,131,39.08,1,-,-,-,-,7,0,-,
,
,season 2008,,9,362,81,45.25,0,-,-,-,-,0,0,-,
,season 2008/09,,8,257,79,32.12,0,-,-,-,-,1,0,-,
,season 2009,,1,16,16,16.00,0,-,-,-,-,0,0,-,
,season 2009/10,,11,367,112,33.36,1,-,-,-,-,3,0,-,
,season 2010,,1,59,59,59.00,0,-,-,-,-,2,0,-,
,season 2010/11,,6,164,110,27.33,1,-,-,-,-,1,0,-,
,season 2011,,6,316,141,45.14,1,-,-,-,-,0,0,-,
,season 2011/12,,9,142,44,11.83,0,-,-,-,-,6,0,-,
,season 2012/13,,4,114,47*,38.00,0,-,-,-,-,2,0,-,
,season 2013,,6,217,151,43.40,1,-,-,-,-,0,0,-,
,season 2013/14,,6,369,148,52.71,1,-,-,-,-,3,0,-,
,season 2014/15,,4,299,99,42.71,0,-,-,-,-,2,0,-,
,season 2015,,3,114,69,22.80,0,-,-,-,-,4,0,-,
,season 2015/16,,8,410,182,45.55,1,-,-,-,-,2,0,-,
,season 2016,,2,154,130,51.33,1,-,-,-,-,3,0,-,
,season 2016/17,,7,267,66,22.25,0,-,-,-,-,4,0,-,
,season 2017/18,,9,592,156,42.28,2,-,-,-,-,4,0,-,
,season 2018,,5,288,131,57.60,2,-,-,-,-,2,0,-,
,season 2018/19,,19,760,131,34.54,2,-,-,-,-,9,0,-,
,season 2019,,2,26,23,13.00,0,-,-,-,-,0,0,-,
,
,*GJ Bailey,2012-2014,7,130,47*,21.66,0,-,-,-,-,3,0,-,
,*MJ Clarke,2008-2015,34,1467,151,37.61,4,-,-,-,-,13,0,-,
,*AJ Finch,2016-2019,18,650,131,40.62,2,-,-,-,-,7,0,-,
,*TD Paine,2018-2019,12,508,131,28.22,2,-,-,-,-,5,0,-,
,*RT Ponting,2008-2010,24,805,112,33.54,1,-,-,-,-,6,0,-,
,*SPD Smith,2014-2018,24,1628,182,42.84,4,-,-,-,-,12,0,-,
,*DA Warner,2016-2016,1,1,1,1.00,0,-,-,-,-,2,0,-,
,*SR Watson,2013-2016,2,49,40,24.50,0,-,-,-,-,0,0,-,
,*CL White,2011-2011,4,55,26,13.75,0,-,-,-,-,0,0,-,
,
,is not captain,2008-2019,126,5293,182,35.76,13,-,-,-,-,48,0,-,
,
,is not keeper,2008-2019,126,5293,182,35.76,13,-,-,-,-,48,0,-,
,
,won the toss,2008-2019,55,2209,182,34.51,6,-,-,-,-,16,0,-,
,lost the toss,2008-2019,71,3084,156,36.71,7,-,-,-,-,32,0,-,
,
,won toss & batted,2008-2019,38,1670,182,34.08,4,-,-,-,-,13,0,-,
,won toss & fielded,2008-2019,17,539,131,35.93,2,-,-,-,-,3,0,-,
,lost toss & sent in,2008-2019,30,1431,151,40.88,4,-,-,-,-,9,0,-,
,lost toss & fielded,2008-2019,41,1653,156,33.73,3,-,-,-,-,23,0,-,
,
