,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,
,matches batting first,2008-2019,68,3101,182,36.91,8,-,-,-,-,22,0,-,
,matches fielding first,2008-2019,58,2192,156,34.25,5,-,-,-,-,26,0,-,
,
,1st team innings,2008-2019,126,4700,182,39.49,13,-,-,-,-,36,0,-,
,2nd team innings,2011-2019,38,593,99,20.44,0,-,-,-,-,12,0,-,
,
,1st match innings,2008-2019,126,2749,182,41.02,8,-,-,-,-,19,0,-,
,2nd match innings,2008-2019,125,1951,156,37.51,5,-,-,-,-,17,0,-,
,3rd match innings,2011-2019,38,352,99,20.70,0,-,-,-,-,7,0,-,
,4th match innings,2011-2018,28,241,60,20.08,0,-,-,-,-,5,0,-,
,
,day match,2008-2019,60,3007,182,34.96,7,-,-,-,-,26,0,-,
,day/night match,2009-2019,62,2201,131,37.94,6,-,-,-,-,22,0,-,
,night match,2011-2016,4,85,28,21.25,0,-,-,-,-,0,0,-,
,
,won match,2008-2019,67,3076,182,42.72,7,-,-,-,-,25,0,-,
,lost match,2008-2019,50,1637,131,26.40,5,-,-,-,-,19,0,-,
,drawn match,2011-2019,8,580,141,41.42,1,-,-,-,-,4,0,-,
,no result,2013-2013,1,-,-,-,-,-,-,-,-,0,0,-,
,
,won batting first,2008-2019,39,1997,182,43.41,6,-,-,-,-,13,0,-,
,won fielding first,2008-2019,28,1079,156,41.50,1,-,-,-,-,12,0,-,
,lost batting first,2008-2019,24,680,131,24.28,2,-,-,-,-,6,0,-,
,lost fielding first,2009-2019,26,957,131,28.14,3,-,-,-,-,13,0,-,
,drawn batting first,2011-2017,5,424,99,42.40,0,-,-,-,-,3,0,-,
,drawn fielding first,2011-2019,3,156,141,39.00,1,-,-,-,-,1,0,-,
,no result fielding first,2013-2013,1,-,-,-,-,-,-,-,-,0,0,-,
,
,2 team series,2008-2019,123,5222,182,36.01,13,-,-,-,-,48,0,-,
,3-4 team tournaments,2015-2015,1,45,45,45.00,0,-,-,-,-,0,0,-,
,5+ team tournaments,2019-2019,2,26,23,13.00,0,-,-,-,-,0,0,-,
,
,only match in series,2008-2013,3,201,151,67.00,1,-,-,-,-,2,0,-,
,1st match in series,2008-2019,29,1335,182,37.08,2,-,-,-,-,12,0,-,
,2nd match in series,2008-2019,33,1491,141,40.29,5,-,-,-,-,8,0,-,
,3rd match in series,2008-2019,26,1164,130,37.54,2,-,-,-,-,12,0,-,
,4th match in series,2008-2019,18,449,101,18.70,1,-,-,-,-,8,0,-,
,5th match in series,2008-2019,13,576,156,44.30,2,-,-,-,-,6,0,-,
,6th match in series,2009-2009,1,6,6,6.00,0,-,-,-,-,0,0,-,
,
,World Cup,2019-2019,2,26,23,13.00,0,-,-,-,-,0,0,-,
,Border-Gavaskar,2011-2019,15,605,99,22.40,0,-,-,-,-,9,0,-,
,Chappell-Hadlee,2009-2017,4,58,22,14.50,0,-,-,-,-,1,0,-,
,Frank Worrell Trophy,2015-2015,3,294,182,73.50,1,-,-,-,-,4,0,-,
,The Ashes,2015-2018,6,447,156,55.87,2,-,-,-,-,2,0,-,
,Trans-Tasman Trophy,2015-2015,1,51,49,25.50,0,-,-,-,-,0,0,-,
