,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,
,Test matches,2018-2018,5,278,62,27.80,0,0,-,-,0,7,0,-,
,One-Day Internationals,2013-2022,146,5406,153*,38.89,17,4,1/2,64.75,0,71,0,-25.85,
,Twenty20 Internationals,2011-2022,103,3120,172,34.28,2,0,-,-,0,50,0,-,
,
,v Afghanistan,2015-2019,2,70,66,35.00,0,-,-,-,-,1,0,-,
,v Bangladesh,2014-2021,4,183,71,45.75,0,-,-,-,-,3,0,-,
,v England,2011-2022,46,1973,156,48.12,8,0,-,-,0,22,0,-,
,v India,2012-2022,53,2057,124,38.09,4,2,1/2,40.50,0,29,0,-2.40,
,v Ireland,2022-2022,1,63,63,63.00,0,-,-,-,-,0,0,-,
,v New Zealand,2015-2022,22,451,79*,23.73,0,0,-,-,0,8,0,-,
,v Pakistan,2014-2022,29,1152,153*,42.66,2,2,1/13,45.50,0,17,0,-2.83,
,v Scotland,2013-2015,2,168,148,84.00,1,-,-,-,-,0,0,-,
,v South Africa,2014-2021,35,1071,109,32.45,2,0,-,-,0,13,0,-,
,v Sri Lanka,2013-2022,32,939,153,32.37,1,0,-,-,0,20,0,-,
,v U.A.E.,2018-2018,1,1,1,1.00,0,-,-,-,-,1,0,-,
,v West Indies,2013-2022,20,402,58,20.10,0,0,-,-,0,13,0,-,
,v Zimbabwe,2014-2022,7,274,172,39.14,1,0,-,-,0,1,0,-,
,
,in Australia,2011-2022,102,3184,135,32.82,8,0,-,-,0,52,0,-,
,in Bangladesh,2014-2014,4,158,71,39.50,0,0,-,-,0,1,0,-,
,in England,2013-2020,34,1443,156,45.09,4,1,1/13,27.00,0,16,0,18.09,
,in India,2013-2022,27,1024,124,39.38,2,2,1/2,36.50,0,14,0,2.88,
,in New Zealand,2015-2021,10,325,79*,46.42,0,-,-,-,-,5,0,-,
,in Pakistan,2022-2022,4,78,55,19.50,0,-,-,-,-,1,0,-,
,in Scotland,2013-2013,1,148,148,148.00,1,-,-,-,-,0,0,-,
,in South Africa,2014-2020,15,406,69,27.06,0,0,-,-,0,6,0,-,
,in Sri Lanka,2016-2022,13,379,62,34.45,0,0,-,-,0,13,0,-,
,in U.A.E.,2014-2021,22,809,153*,35.17,2,1,1/41,60.00,0,12,0,-24.82,
,in West Indies,2016-2021,12,294,72,26.72,0,0,-,-,0,3,0,-,
,in Zimbabwe,2014-2018,10,556,172,61.77,2,0,-,-,0,5,0,-,
,
,in Africa,2014-2020,25,962,172,40.08,2,0,-,-,0,11,0,-,
,in Americas,2016-2021,12,294,72,26.72,0,0,-,-,0,3,0,-,
,in Asia,2013-2022,70,2448,153*,36.00,4,3,1/2,52.66,0,41,0,-16.66,
,in Europe,2013-2020,35,1591,156,48.21,5,1,1/13,27.00,0,16,0,21.21,
,in Oceania,2011-2022,112,3509,135,33.74,8,0,-,-,0,57,0,-,
,
,home,2011-2022,102,3184,135,32.82,8,0,-,-,0,52,0,-,
,away,2013-2022,108,3888,172,38.88,7,2,1/2,66.50,0,55,0,-27.61,
,neutral,2014-2021,44,1732,153*,40.27,4,2,1/13,61.00,0,21,0,-20.72,
,
,year 2011,,2,68,53*,-,0,-,-,-,-,1,0,-,
,year 2012,,1,36,36,36.00,0,-,-,-,-,0,0,-,
,year 2013,,24,776,156,33.73,2,2,1/2,17.50,0,10,0,16.23,
,year 2014,,31,1180,121,39.33,4,0,-,-,0,10,0,-,
,year 2015,,16,561,135,40.07,1,0,-,-,0,12,0,-,
,year 2016,,31,873,107,30.10,1,0,-,-,0,9,0,-,
,year 2017,,13,563,124,43.30,1,0,-,-,0,7,0,-,
,year 2018,,33,1302,172,38.29,4,0,-,-,0,25,0,-,
,year 2019,,31,1356,153*,48.42,4,2,1/13,51.00,0,16,0,-2.57,
,year 2020,,21,944,114,47.20,2,0,-,-,0,9,0,-,
,year 2021,,17,459,79*,28.68,0,-,-,-,-,7,0,-,
,year 2022,,34,686,63,21.43,0,-,-,-,-,22,0,-,
,
,season 2010/11,,2,68,53*,-,0,-,-,-,-,1,0,-,
,season 2011/12,,1,36,36,36.00,0,-,-,-,-,0,0,-,
,season 2012/13,,10,117,38,11.70,0,0,-,-,0,8,0,-,
,season 2013,,7,380,156,63.33,2,-,-,-,-,1,0,-,
,season 2013/14,,21,831,121,39.57,2,2,1/2,21.00,0,5,0,18.57,
,season 2014,,5,250,102,50.00,1,0,-,-,0,1,0,-,
,season 2014/15,,25,801,135,34.82,2,0,-,-,0,15,0,-,
,season 2015,,3,138,70*,69.00,0,-,-,-,-,2,0,-,
,season 2015/16,,11,431,107,39.18,1,-,-,-,-,3,0,-,
,season 2016,,12,312,72,31.20,0,0,-,-,0,5,0,-,
,season 2016/17,,13,298,56,22.92,0,-,-,-,-,3,0,-,
,season 2017,,3,95,68,31.66,0,-,-,-,-,2,0,-,
,season 2017/18,,11,649,124,81.12,3,0,-,-,0,7,0,-,
,season 2018,,11,551,172,55.10,2,0,-,-,0,6,0,-,
,season 2018/19,,31,1044,153*,29.82,2,1,1/41,90.00,0,25,0,-60.17,
,season 2019,,10,507,153,50.70,2,1,1/13,20.00,0,5,0,30.70,
,season 2019/20,,16,641,110*,49.30,1,0,-,-,0,4,0,-,
,season 2020,,6,226,73,37.66,0,-,-,-,-,4,0,-,
,season 2020/21,,10,481,114,53.44,1,-,-,-,-,5,0,-,
,season 2021,,5,127,53,25.40,0,-,-,-,-,1,0,-,
,season 2021/22,,16,291,55,18.18,0,-,-,-,-,7,0,-,
,season 2022,,17,325,62,20.31,0,-,-,-,-,16,0,-,
,season 2022/23,,8,205,63,29.28,0,-,-,-,-,2,0,-,
,
,*GJ Bailey,2012-2015,41,1642,156,41.05,5,2,1/2,27.00,0,11,0,14.05,
,*MJ Clarke,2013-2015,22,644,148,30.66,2,0,-,-,0,14,0,-,
,*AJ Finch,2014-2022,131,4341,172,35.58,7,2,1/13,61.00,0,71,0,-25.41,
,*TD Paine,2018-2018,10,439,100,29.26,1,0,-,-,0,8,0,-,
,*SPD Smith,2015-2018,39,1460,124,39.45,4,0,-,-,0,17,0,-,
,*DA Warner,2016-2018,8,209,55,52.25,0,-,-,-,-,4,0,-,
,*SR Watson,2013-2013,1,1,1,1.00,0,0,-,-,0,2,0,-,
,*CL White,2011-2011,2,68,53*,-,0,-,-,-,-,1,0,-,
,
,is captain,2014-2022,131,4341,172,35.58,7,2,1/13,61.00,0,71,0,-25.41,
,is not captain,2011-2018,123,4463,156,37.82,12,2,1/2,86.00,0,57,0,-48.17,
,
,is not keeper,2011-2022,254,8804,172,36.68,19,4,1/2,73.50,0,128,0,-36.81,
,
,won the toss,2011-2022,137,4330,124,34.64,8,1,1/2,137.00,0,60,0,-102.35,
,lost the toss,2013-2022,117,4474,172,38.90,11,3,1/13,52.33,0,68,0,-13.42,
,
,won toss & batted,2011-2022,64,2525,124,40.72,6,1,1/2,94.00,0,24,0,-53.27,
,won toss & fielded,2013-2022,73,1805,110*,28.65,2,0,-,-,0,36,0,-,
,lost toss & sent in,2013-2022,61,2554,172,41.86,8,2,1/13,34.00,0,31,0,7.86,
,lost toss & fielded,2013-2022,56,1920,153*,35.55,3,1,1/41,89.00,0,37,0,-53.44,
,
,matches batting first,2011-2022,125,5079,172,41.29,14,3,1/2,54.00,0,55,0,-12.70,
,matches fielding first,2013-2022,129,3725,153*,31.83,5,1,1/41,132.00,0,73,0,-100.16,
,
,1st team innings,2011-2022,254,8685,172,36.95,19,4,1/2,73.50,0,124,0,-36.54,
,2nd team innings,2018-2018,5,119,49,23.80,0,-,-,-,-,4,0,-,
,
,1st match innings,2011-2022,254,5054,172,41.42,14,1,1/41,132.00,0,69,0,-90.57,
,2nd match innings,2011-2022,250,3631,153*,32.13,5,3,1/2,54.00,0,55,0,-21.86,
,3rd match innings,2018-2018,5,25,25,25.00,0,-,-,-,-,4,0,-,
,4th match innings,2018-2018,5,94,49,23.50,0,-,-,-,-,0,0,-,
,
,day match,2013-2022,57,2170,172,36.77,6,1,1/13,54.00,0,30,0,-17.22,
,day/night match,2012-2022,125,4521,153*,38.31,12,3,1/2,80.00,0,60,0,-41.68,
