,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,
,night match,2011-2022,72,2113,156,33.53,1,-,-,-,-,38,0,-,
,
,won match,2011-2022,138,5502,172,44.01,13,3,1/2,46.33,0,82,0,-2.31,
,lost match,2011-2022,105,3097,124,28.94,6,1,1/20,155.00,0,43,0,-126.05,
,tied match,2022-2022,1,25,25,25.00,0,-,-,-,-,0,0,-,
,drawn match,2018-2018,1,111,62,55.50,0,-,-,-,-,0,0,-,
,no result,2013-2022,9,69,37*,13.80,0,-,-,-,-,3,0,-,
,
,won batting first,2011-2022,66,3246,172,49.93,9,2,1/2,30.00,0,38,0,19.93,
,won fielding first,2013-2022,72,2256,153*,37.60,4,1,1/41,79.00,0,44,0,-41.39,
,lost batting first,2011-2022,56,1803,124,32.78,5,1,1/20,102.00,0,17,0,-69.21,
,lost fielding first,2013-2022,49,1294,108,24.88,1,0,-,-,0,26,0,-,
,tied batting first,2022-2022,1,25,25,25.00,0,-,-,-,-,0,0,-,
,drawn fielding first,2018-2018,1,111,62,55.50,0,-,-,-,-,0,0,-,
,no result batting first,2013-2018,2,5,5,2.50,0,-,-,-,-,0,0,-,
,no result fielding first,2013-2022,7,64,37*,21.33,0,-,-,-,-,3,0,-,
,
,2 team series,2011-2022,193,6538,156,35.15,14,3,1/2,64.66,0,98,0,-29.51,
,3-4 team tournaments,2014-2018,25,940,172,49.47,2,0,-,-,0,13,0,-,
,5+ team tournaments,2014-2022,52,1744,153,34.19,4,1,1/13,38.00,0,23,0,-3.80,
,
,only match in series,2013-2022,9,407,148,45.22,1,-,-,-,-,4,0,-,
,1st match in series,2011-2022,52,1951,156,39.02,6,1,1/2,11.00,0,29,0,28.02,
,2nd match in series,2011-2022,52,1429,153*,28.01,2,1,1/41,65.00,0,17,0,-36.98,
,3rd match in series,2013-2022,45,1603,124,36.43,2,0,-,-,0,24,0,-,
,4th match in series,2013-2022,17,706,108,44.12,3,0,-,-,0,16,0,-,
,5th match in series,2013-2022,16,417,76,29.78,0,0,-,-,0,8,0,-,
,6th match in series,2013-2013,1,20,20,20.00,0,1,1/20,20.00,0,0,0,0.00,
,7th match in series,2013-2013,1,5,5,5.00,0,0,-,-,0,0,0,-,
,
,World Cup,2015-2019,18,787,153,43.72,3,1,1/13,20.00,0,11,0,23.72,
,Border-Gavaskar,2018-2018,3,97,50,16.16,0,0,-,-,0,7,0,-,
,Chappell-Hadlee,2015-2022,10,166,60,16.60,0,-,-,-,-,4,0,-,
,ICC Champions Trophy,2017-2017,3,95,68,31.66,0,-,-,-,-,2,0,-,
,Men's T20 World Cup,2014-2022,16,458,71,30.53,0,0,-,-,0,4,0,-,
,
,tournament finals,2014-2021,7,171,54,28.50,0,0,-,-,0,2,0,-,
,tournament semi-finals,2015-2021,3,81,81,27.00,0,-,-,-,-,0,0,-,
,tournament quarter-finals,2015-2015,1,2,2,2.00,0,-,-,-,-,3,0,-,
,preliminary matches,2014-2022,66,2430,172,40.50,6,1,1/13,97.00,0,31,0,-56.49,
