,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,
,day/night match,2009-2021,15,83,22,6.91,0,8,3/32,39.50,0,4,0,-32.58,
,night match,2013-2021,23,354,62*,22.12,0,7,3/22,27.71,0,6,0,-5.58,
,
,won match,2009-2021,17,116,62*,12.88,0,10,3/32,29.10,0,8,0,-16.21,
,lost match,2009-2021,24,499,81*,19.19,0,6,3/22,59.83,0,3,0,-40.64,
,no result,2013-2017,3,21,18,10.50,0,1,1/30,55.00,0,2,0,-44.49,
,
,won batting first,2009-2021,10,38,9*,9.50,0,7,3/32,24.00,0,4,0,-14.49,
,won fielding first,2014-2021,7,78,62*,15.60,0,3,1/15,41.00,0,4,0,-25.39,
,lost batting first,2009-2021,14,373,81*,24.86,0,3,1/48,93.66,0,1,0,-68.79,
,lost fielding first,2016-2021,10,126,30,11.45,0,3,3/22,26.00,0,2,0,-14.54,
,no result batting first,2013-2013,1,3,3,3.00,0,-,-,-,-,0,0,-,
,no result fielding first,2017-2017,2,18,18,18.00,0,1,1/30,55.00,0,2,0,-36.99,
,
,2 team series,2009-2021,40,597,81*,17.55,0,15,3/22,40.66,0,11,0,-23.10,
,3-4 team tournaments,2015-2015,1,4,4,4.00,0,1,1/34,34.00,0,0,0,-29.99,
,5+ team tournaments,2017-2021,8,71,22,11.83,0,2,1/30,51.00,0,4,0,-39.16,
,
,only match in series,2009-2013,2,13,12,6.50,0,0,-,-,0,0,0,-,
,1st match in series,2013-2021,10,234,81*,29.25,0,8,3/22,22.12,0,3,0,7.12,
,2nd match in series,2013-2021,10,209,62*,26.12,0,1,1/34,187.00,0,3,0,-160.87,
,3rd match in series,2009-2021,11,89,33,8.90,0,3,1/15,53.66,0,2,0,-44.76,
,4th match in series,2009-2021,4,19,6,4.75,0,0,-,-,0,2,0,-,
,5th match in series,2013-2021,3,33,21,16.50,0,3,3/32,10.66,0,1,0,5.83,
,
,Border-Gavaskar,2013-2013,3,156,81*,31.20,0,2,1/48,77.50,0,1,0,-46.29,
,ICC Champions Trophy,2017-2017,3,35,18,17.50,0,1,1/30,61.00,0,2,0,-43.49,
